user,event_id,event_type,repo,event_url,event_watchs,event_stars,event_forks,event_issues,event_isfork,event_projects,event_downloads,event_wiki,event_pages,event_discussions,date_,time,language_1,lang_count_1,language_2,lang_count_2,language_3,lang_count_3
seragu9,42272692240,PushEvent,botch,https://github.com/seragu9/botch,3.0,1.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,Python,50622.0,,,,
zxdavb,42272692227,PushEvent,hass,https://github.com/zxdavb/hass,0.0,0.0,0.0,0.0,True,True,True,False,False,False,2024-09-25,20:22:18,Python,75229238.0,Shell,6248.0,Dockerfile,4253.0
jkalulambi,42272692221,PushEvent,module-3-lab-jkalulambi,https://github.com/jsmarier-courses/module-3-lab-jkalulambi,0.0,0.0,0.0,0.0,False,True,True,True,True,False,2024-09-25,20:22:18,HTML,2360.0,CSS,148.0,,
Xorro78,42272692234,IssueCommentEvent,bool_tool,https://github.com/nickberckley/bool_tool,2.0,4.0,1.0,6.0,False,False,True,True,False,True,2024-09-25,20:22:18,Python,124675.0,,,,
Kimbras,42272692205,PushEvent,basiswebsite,https://github.com/Kimbras/basiswebsite,1.0,0.0,0.0,0.0,False,True,True,False,True,False,2024-09-25,20:22:18,CSS,50991.0,HTML,19607.0,JavaScript,2956.0
MHamza79,42272692219,CreateEvent,MHamza79,https://github.com/MHamza79/MHamza79,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,,,,,,
github-actions[bot],42272692193,PushEvent,WedusKripto20,https://github.com/husnapupita/WedusKripto20,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,Shell,2165.0,,,,
github-actions[bot],42272692172,PushEvent,ByteXenon,https://github.com/ByteXenon/ByteXenon,1.0,0.0,0.0,0.0,False,False,True,False,False,False,2024-09-25,20:22:18,,,,,,
alivenichoppa,42272692194,CreateEvent,ia-case-access-api,https://github.com/hmcts/ia-case-access-api,18.0,0.0,1.0,3.0,False,True,True,True,False,False,2024-09-25,20:22:18,Java,128982.0,Groovy,11458.0,Shell,4539.0
dante2004salazar,42272692157,PushEvent,udd,https://github.com/dante2004salazar/udd,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,,,,,,
Chroiud,42272692169,PushEvent,playercount,https://github.com/Chroiud/playercount,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,,,,,,
github-actions[bot],42272692162,PushEvent,ahmaddyd,https://github.com/ahmaddyd/ahmaddyd,2.0,6.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,,,,,,
rorro,42272692164,PullRequestEvent,wiseoldman-discord-bot,https://github.com/wise-old-man/wiseoldman-discord-bot,2.0,22.0,16.0,21.0,False,True,True,True,True,False,2024-09-25,20:22:18,TypeScript,215767.0,Shell,5223.0,,
DavidKorczynski,42272692167,PullRequestEvent,oss-fuzz-gen,https://github.com/google/oss-fuzz-gen,12.0,831.0,98.0,84.0,False,False,True,False,False,True,2024-09-25,20:22:18,Python,640284.0,Shell,28021.0,C,12947.0
seanpm2001,42272692171,DeleteEvent,uOffice_LIBrary_DOCBOOK,https://github.com/seanpm2001/uOffice_LIBrary_DOCBOOK,1.0,1.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,HTML,528.0,,,,
aws-aemilia-sin,42272692159,CreateEvent,Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ap-southeast-1,https://github.com/aws-aemilia-sin/Github-PR-Commit-Integration-Test-DoNotTouch-GitH-MJCD6L4M-v1-prod-ap-southeast-1,1.0,0.0,0.0,1.0,False,True,True,True,False,False,2024-09-25,20:22:18,HTML,355.0,,,,
0x-raven-66,42272692148,CreateEvent,DEPI-Portfolio,https://github.com/0x-raven-66/DEPI-Portfolio,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,CSS,22261.0,HTML,13799.0,JavaScript,9246.0
Caleb-T-Owens,42272692146,PullRequestReviewEvent,gitbutler,https://github.com/gitbutlerapp/gitbutler,47.0,12524.0,494.0,266.0,False,False,True,False,False,True,2024-09-25,20:22:18,Rust,1205421.0,TypeScript,693416.0,Svelte,677797.0
MHamza79,42272692144,CreateEvent,MHamza79,https://github.com/MHamza79/MHamza79,1.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,,,,,,
yenemy,42272692143,WatchEvent,neapolitan,https://github.com/carltongibson/neapolitan,13.0,474.0,33.0,19.0,False,False,True,False,False,False,2024-09-25,20:22:18,Python,37859.0,HTML,3977.0,Just,213.0
mpoiriert,42272692133,CreateEvent,profiling,https://github.com/mpoiriert/profiling,3.0,0.0,0.0,0.0,False,True,True,True,False,False,2024-09-25,20:22:18,PHP,13503.0,,,,
Kierkeguard,42272692092,PushEvent,RSS-GPT,https://github.com/Kierkeguard/RSS-GPT,0.0,0.0,0.0,0.0,True,True,True,True,True,False,2024-09-25,20:22:18,Python,13886.0,HTML,3088.0,,
